Comune;
Provincia;
Regione;
    Nome;
    Tipo servizio;
Anno inserimento;
Data e ora inserimento;
Identificatore in OpenStreetMap;
Longitudine;
Latitudine;

BEINASCO;CITTA' METROPOLITANA DI TORINO;Piemonte;Media World;Elettronica;2015;2015-11-04T10:44:41Z;3816860934;7.5927452;45.0237806
CARIGNANO;CITTA' METROPOLITANA DI TORINO;Piemonte;;Elettronica;2016;2016-02-08T23:56:28Z;3996476434;7.6744785;44.9072681
CASELLE TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;;Elettronica;2014;2014-07-22T12:22:58Z;2974256007;7.7077437;45.1478392
CASTELLAMONTE;CITTA' METROPOLITANA DI TORINO;Piemonte;Ertola Armando;Elettricista;2013;2013-03-18T12:46:06Z;2177684711;7.7161456;45.382849